Angular Velocity (rad/s),Wheel Radius (m),Transmission Ratio (No Unit),rpm (rpm)
41.83845988391969,0.48873300747769094,4,204.36918317354707
30.270329881505063,0.49236136655030666,10,58.70898437972706
43.18660363230828,0.48778797944656216,10,84.5452745829943
33.690605996239256,0.4959406209123139,10,64.87098963822496
64.11494968816466,0.49569835128199036,10,123.5131544323575
33.440790649071545,0.49338482905037206,10,64.72351988947263
87.07598102255902,0.48859787623269085,10,170.1837868535839
35.72377978578602,0.48063747740598983,10,70.97594015580592
93.29805830181014,0.49642701976487313,10,179.4686417347941
68.72205178813778,0.4954949402219725,10,132.44277614539808
30.23446200197518,0.49019734318180935,10,58.89828836816509
95.5025546245594,0.48992309236551657,5,372.2960738105975
35.87405507131358,0.4828980638487338,5,141.88170019597985
42.62486206977502,0.4910675630865564,5,165.77655720630477
59.539278519313484,0.48002748629496683,5,236.8856972990349
41.91101604418075,0.48939588645414145,5,163.55704389174852
88.5815812300927,0.48373307141637295,5,349.7349431591083
49.47809968746205,0.4954416070184108,5,190.73127557719684
32.06956385452123,0.4947930625723515,5,123.78580048102972
35.93458186713759,0.4876857889421041,5,140.72584754625993
67.6281734225869,0.4833323396741839,5,267.2287502980562
14.888654627190522,0.48913170927288063,4,72.66763537252353
41.2779944583903,0.4974593371117007,4,198.0944883992858
64.7173323974948,0.4850965813904502,4,318.49585474069056
71.37179156834917,0.4874545306996838,4,349.5456307213659
82.46218741826844,0.485335239656553,4,405.62472101990045
10.461359343283153,0.4940015139201147,4,50.555828394080855
97.89148344971831,0.4951005328799477,4,472.0227239605585
91.93565353771876,0.4852000353567246,4,452.3499373661694
65.7027081284022,0.4989373984901793,4,314.3754348181545
54.22625370167614,0.49094311286874515,4,263.68766856347463
79.02908115326696,0.482563968837208,10,156.3879990111251
47.98371230603981,0.49566100157597154,10,92.4443719855792
71.09297681021057,0.48867440189858674,10,138.92438770480916
20.978164862888928,0.4917070227286357,10,40.741073207344826
20.042079433405252,0.48726085641675376,10,39.27829584084583
95.61343786244478,0.4836953693592826,10,188.76365860572824
96.09097457193867,0.4970092010977029,10,184.62459313668043
56.72907844449733,0.4868028531161606,10,111.28176254959475
74.42590162802576,0.496415595512996,10,143.16935541798063
37.59413112690349,0.48303042296708093,10,74.32192485937075
61.320633410063145,0.4826179358122241,8,151.66472062905427
13.330309485981296,0.48646552520623376,8,32.70917266037415
88.83511355911865,0.4996617442162132,8,212.22178213646026
96.59479682158762,0.483474732623206,8,238.48515269402313
23.166884088277477,0.4890475320446215,8,56.545487050171616
82.35189574000603,0.4866574760820848,8,201.99080345268817
26.01792099967152,0.48515672060501175,8,64.01355315002577
73.53663398257024,0.49898313267603234,8,175.91354341827335
56.82378525953343,0.4981796596282063,8,136.15248235942445
59.31199747496479,0.487793338995084,8,145.14032113848418
74.24922830043535,0.4890969820253124,8,181.20841273400086
70.52250062031828,0.48536896919132094,8,173.43513829734562
77.70006655293959,0.49529042463045636,8,187.25906643101823
77.44487075641425,0.4838179337696789,8,191.06981889798993
13.134495113589535,0.4879869556004334,8,32.1282126246388
31.85058162083419,0.4961521999983063,8,76.62735606117847
80.2109758801735,0.48583830567033204,8,197.07132732062945
44.753926292743465,0.4806181006042079,8,111.15075436150931
42.925627326955485,0.48125535271535086,8,106.46882786641456
39.47799725928877,0.49006655791136994,8,96.15711844268141
60.810016748406696,0.4896773653167903,4,296.4670854884831
25.61894634997641,0.49252091816082966,4,124.17894747386258
49.08624580477148,0.48535058908757567,4,241.44357192415663
86.81529524468849,0.48508395461619297,4,427.25851605749796
83.66242338182238,0.4914399302475921,4,406.4165550880947
22.726565286763655,0.48638988676710293,4,111.54771007670199
35.46480129534448,0.49348092407102845,4,171.56889425517616
86.96265608342169,0.4874160894467623,4,425.9359778968305
57.071102863312746,0.48426556497783646,4,281.3481522938129
86.0861573719,0.4967775181943035,4,413.6973889436106
36.2167279221688,0.48868476477021044,10,70.77042322943483
30.37284673646421,0.487296034054715,10,59.52014819810391
86.76643921258298,0.490469309387972,10,168.93176511774246
95.86032791058162,0.49589565223441556,10,184.59502475533364
70.50491089539727,0.4897331396388063,10,137.47738316666215
69.71045736940451,0.4854479280666427,10,137.12816432926834
63.933994692321406,0.4876776613951906,10,125.19020770133187
25.978425566488056,0.49941088665865807,10,49.67366494928729
58.5598085279088,0.4870434143031153,10,114.81624906560613
